tool|type|value|source
Abbot|description|"Abbot is a tool for undertaking large-scale conversion of XML document collections in order to make them interoperable with one another.  In particular, Abbot can make one or more collections conform to a designated schema (including a schema used to define one of the collections).
By default, Abbot converts documents into TEI Analytics -- a TEI subset designed for text analysis applications."|BambooDirt
Abbot|application-category|Conversion|TERESAH
Abbot|keyword|DHCS|TERESAH
Abbot|url|https://github.com/CDRH/abbot|TERESAH
Abbot|operating-system|Linux|TERESAH
Abbot|creator|Martin Mueller|TERESAH
Adapter|description|Adapter is a free video converter that converts avi, saves flash .flv, crops video and more. It also works with audio and image files. converting wav to mp3 and transforming jpg files.|BambooDirt
Adapter|url|http://www.macroplant.com/adapter/|TERESAH
Adapter|creator|Macroplant|TERESAH
Adapter|operating-system|osX|TERESAH
Adapter|license|Proprietary|TERESAH
Adapter|application-category|Recording|TERESAH
Adobe Flash|keyword|abc|TERESAH
Adobe Flash|description|Adobe Flash is a multimedia platform that is popular for adding animation and interactivity to web pages. Flash is commonly used to create animation, advertisements, and various web page Flash components, to integrate video into web pages, and more recently, to develop rich Internet applications.|ArtsHumanities
Adobe Flash|keyword|Adobe Illustrator (AI)|TERESAH
Adobe Flash|keyword|Animation|TERESAH
Adobe Flash|keyword|asc|TERESAH
Adobe Flash|keyword|aso|TERESAH
Adobe Flash|keyword|authoring environment|TERESAH
Adobe Flash|description|Authoring environment for interactive content on desktops, televisions, smartphones and tablets|BambooDirt
Adobe Flash|application-category|2_Creation|TERESAH
Adobe Flash|keyword|creation|TERESAH
Adobe Flash|license|EULA|TERESAH
Adobe Flash|keyword|exe|TERESAH
Adobe Flash|standard|f4a|TERESAH
Adobe Flash|standard|f4b|TERESAH
Adobe Flash|standard|f4p|TERESAH
Adobe Flash|standard|f4v|TERESAH
Adobe Flash|standard|fla|TERESAH
Adobe Flash|keyword|flax|TERESAH
Adobe Flash|keyword|flp|TERESAH
Adobe Flash|standard|FLV|TERESAH
Adobe Flash|keyword|hqx|TERESAH
Adobe Flash|url|http://www.adobe.com/products/flash.html|TERESAH
Adobe Flash|keyword|jsfl|TERESAH
Adobe Flash|operating-system|Linux|TERESAH
Adobe Flash|creator|Macromedia|TERESAH
Adobe Flash|keyword|mxml|TERESAH
Adobe Flash|operating-system|osX|TERESAH
Adobe Flash|keyword|Paid|TERESAH
Adobe Flash|standard|PSD|TERESAH
Adobe Flash|application-category|Publishing|TERESAH
Adobe Flash|keyword|sol|TERESAH
Adobe Flash|keyword|spl|TERESAH
Adobe Flash|keyword|swc|TERESAH
